agrupacion_nombre,votos_cantidad,distrito_nombre
Alianza Frente Amplio Progresista                                                                   ,8951,JUJUY
Alianza Frente Primero Jujuy                                                                        ,29039,JUJUY
Alianza Frente de Izquierda y de los Trabajadores                                                   ,5583,JUJUY
Alianza Frente para la Victoria                                                                     ,160402,JUJUY
Alianza Unión para el Desarrollo Social                                                             ,73276,JUJUY
Nueva Izquierda                                                                                     ,1508,JUJUY
Unión y Libertad                                                                                    ,1975,JUJUY
Alianza Frente Justicialista para la Victoria                                                       ,358184,ENTRE RÍOS
Frente Entrerriano Federal                                                                          ,117015,ENTRE RÍOS
Frente Progresista Civ. y Soc.                                                                      ,120705,ENTRE RÍOS
GEN                                                                                                 ,24995,ENTRE RÍOS
Nueva Izquierda                                                                                     ,3573,ENTRE RÍOS
Pro-Propuesta Republicana                                                                           ,15951,ENTRE RÍOS
Alianza Frente para la Victoria                                                                     ,223150,SAN JUAN
Frente Opositor                                                                                     ,8610,SAN JUAN
Partido Dignidad Ciudadana                                                                          ,7218,SAN JUAN
Todos por San Juan                                                                                  ,21903,SAN JUAN
"Unión, Producción y Trabajo                                                                         ",66475,SAN JUAN
Alianza Compromiso Federal                                                                          ,125321,SAN LUIS
Alianza Frente para la Victoria                                                                     ,55358,SAN LUIS
Convergencia Democrática                                                                            ,67,SAN LUIS
Frente Unidos por San Luis                                                                          ,36581,SAN LUIS
Encuentro Ciudadano Sur                                                                             ,2579,SANTA CRUZ
Frente para la Victoria Santacruceña                                                                ,70907,SANTA CRUZ
Partido Obrero                                                                                      ,1554,SANTA CRUZ
Unión Para Vivir Mejor                                                                              ,63083,SANTA CRUZ
Alianza Frente Amplio Progresista                                                                   ,883584,BUENOS AIRES
Alianza Frente Popular                                                                              ,448421,BUENOS AIRES
Alianza Frente de Izquierda y de los Trabajadores                                                   ,233805,BUENOS AIRES
Alianza Frente para la Victoria                                                                     ,4165549,BUENOS AIRES
Alianza Unión para el Desarrollo Social                                                             ,1200575,BUENOS AIRES
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,143234,BUENOS AIRES
Nuevo Encuentro                                                                                     ,489965,BUENOS AIRES
