agrupacion_nombre,votos_cantidad,distrito_nombre
CONSENSO FEDERAL,42123,TUCUMÁN
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,12405,TUCUMÁN
FRENTE DE TODOS,584885,TUCUMÁN
FRENTE NOS,21062,TUCUMÁN
JUNTOS POR EL CAMBIO,342980,TUCUMÁN
UNITE POR LA LIBERTAD Y LA DIGNIDAD,8699,TUCUMÁN
CONSENSO FEDERAL,128795,CIUDAD AUTÓNOMA DE BUENOS AIRES
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,58040,CIUDAD AUTÓNOMA DE BUENOS AIRES
FRENTE DE TODOS,707158,CIUDAD AUTÓNOMA DE BUENOS AIRES
FRENTE NOS,13559,CIUDAD AUTÓNOMA DE BUENOS AIRES
JUNTOS POR EL CAMBIO,1039750,CIUDAD AUTÓNOMA DE BUENOS AIRES
UNITE POR LA LIBERTAD Y LA DIGNIDAD,37404,CIUDAD AUTÓNOMA DE BUENOS AIRES
CONSENSO FEDERAL,7554,TIERRA DEL FUEGO
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2721,TIERRA DEL FUEGO
FRENTE DE TODOS,56314,TIERRA DEL FUEGO
FRENTE NOS,3819,TIERRA DEL FUEGO
JUNTOS POR EL CAMBIO,25673,TIERRA DEL FUEGO
UNITE POR LA LIBERTAD Y LA DIGNIDAD,2722,TIERRA DEL FUEGO
CONSENSO FEDERAL,19622,SANTIAGO DEL ESTERO
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,5661,SANTIAGO DEL ESTERO
FRENTE DE TODOS,438357,SANTIAGO DEL ESTERO
FRENTE NOS,9211,SANTIAGO DEL ESTERO
JUNTOS POR EL CAMBIO,107853,SANTIAGO DEL ESTERO
UNITE POR LA LIBERTAD Y LA DIGNIDAD,5052,SANTIAGO DEL ESTERO
CONSENSO FEDERAL,75043,MENDOZA
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,26043,MENDOZA
FRENTE DE TODOS,429206,MENDOZA
FRENTE NOS,22425,MENDOZA
