agrupacion_nombre,votos_cantidad,distrito_nombre
Alianza Compromiso Federal                                                                          ,614742,BUENOS AIRES
Alianza Frente Amplio Progresista                                                                   ,1251277,BUENOS AIRES
Alianza Frente Popular                                                                              ,599068,BUENOS AIRES
Alianza Frente de Izquierda y de los Trabajadores                                                   ,230721,BUENOS AIRES
Alianza Frente para la Victoria                                                                     ,4704016,BUENOS AIRES
Alianza Unión para el Desarrollo Social                                                             ,810882,BUENOS AIRES
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,147010,BUENOS AIRES
Alianza Compromiso Federal                                                                          ,184116,CIUDAD AUTÓNOMA DE BUENOS AIRES
Alianza Frente Amplio Progresista                                                                   ,518069,CIUDAD AUTÓNOMA DE BUENOS AIRES
Alianza Frente Popular                                                                              ,191211,CIUDAD AUTÓNOMA DE BUENOS AIRES
Alianza Frente de Izquierda y de los Trabajadores                                                   ,61055,CIUDAD AUTÓNOMA DE BUENOS AIRES
Alianza Frente para la Victoria                                                                     ,653520,CIUDAD AUTÓNOMA DE BUENOS AIRES
Alianza Unión para el Desarrollo Social                                                             ,176026,CIUDAD AUTÓNOMA DE BUENOS AIRES
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,80580,CIUDAD AUTÓNOMA DE BUENOS AIRES
Alianza Compromiso Federal                                                                          ,85672,SANTA FE
Alianza Frente Amplio Progresista                                                                   ,697855,SANTA FE
Alianza Frente Popular                                                                              ,89955,SANTA FE
Alianza Frente de Izquierda y de los Trabajadores                                                   ,30872,SANTA FE
Alianza Frente para la Victoria                                                                     ,748999,SANTA FE
Alianza Unión para el Desarrollo Social                                                             ,101414,SANTA FE
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,30017,SANTA FE
Alianza Compromiso Federal                                                                          ,3353,CATAMARCA
Alianza Frente Amplio Progresista                                                                   ,9591,CATAMARCA
Alianza Frente Popular                                                                              ,5031,CATAMARCA
Alianza Frente de Izquierda y de los Trabajadores                                                   ,2891,CATAMARCA
Alianza Frente para la Victoria                                                                     ,130983,CATAMARCA
Alianza Unión para el Desarrollo Social                                                             ,33649,CATAMARCA
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,2240,CATAMARCA
Alianza Compromiso Federal                                                                          ,224648,CÓRDOBA
Alianza Frente Amplio Progresista                                                                   ,427669,CÓRDOBA
Alianza Frente Popular                                                                              ,83518,CÓRDOBA
Alianza Frente de Izquierda y de los Trabajadores                                                   ,51766,CÓRDOBA
Alianza Frente para la Victoria                                                                     ,682234,CÓRDOBA
Alianza Unión para el Desarrollo Social                                                             ,328339,CÓRDOBA
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,28722,CÓRDOBA
Alianza Compromiso Federal                                                                          ,6790,SANTIAGO DEL ESTERO
Alianza Frente Amplio Progresista                                                                   ,16753,SANTIAGO DEL ESTERO
Alianza Frente Popular                                                                              ,13582,SANTIAGO DEL ESTERO
Alianza Frente de Izquierda y de los Trabajadores                                                   ,4437,SANTIAGO DEL ESTERO
Alianza Frente para la Victoria                                                                     ,333491,SANTIAGO DEL ESTERO
Alianza Unión para el Desarrollo Social                                                             ,28586,SANTIAGO DEL ESTERO
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,2983,SANTIAGO DEL ESTERO
Alianza Compromiso Federal                                                                          ,20122,CORRIENTES
Alianza Frente Amplio Progresista                                                                   ,35926,CORRIENTES
Alianza Frente Popular                                                                              ,23186,CORRIENTES
Alianza Frente de Izquierda y de los Trabajadores                                                   ,4238,CORRIENTES
Alianza Frente para la Victoria                                                                     ,339420,CORRIENTES
Alianza Unión para el Desarrollo Social                                                             ,64359,CORRIENTES
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,11915,CORRIENTES
Alianza Compromiso Federal                                                                          ,17050,CHACO
Alianza Frente Amplio Progresista                                                                   ,40362,CHACO
Alianza Frente Popular                                                                              ,23428,CHACO
Alianza Frente de Izquierda y de los Trabajadores                                                   ,4564,CHACO
Alianza Frente para la Victoria                                                                     ,367176,CHACO
Alianza Unión para el Desarrollo Social                                                             ,99612,CHACO
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,11095,CHACO
Alianza Compromiso Federal                                                                          ,8236,CHUBUT
Alianza Frente Amplio Progresista                                                                   ,21028,CHUBUT
Alianza Frente Popular                                                                              ,44810,CHUBUT
Alianza Frente de Izquierda y de los Trabajadores                                                   ,5138,CHUBUT
Alianza Frente para la Victoria                                                                     ,162499,CHUBUT
Alianza Unión para el Desarrollo Social                                                             ,26053,CHUBUT
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,4171,CHUBUT
Alianza Compromiso Federal                                                                          ,26919,ENTRE RÍOS
Alianza Frente Amplio Progresista                                                                   ,133525,ENTRE RÍOS
Alianza Frente Popular                                                                              ,28536,ENTRE RÍOS
Alianza Frente de Izquierda y de los Trabajadores                                                   ,6864,ENTRE RÍOS
Alianza Frente para la Victoria                                                                     ,356040,ENTRE RÍOS
Alianza Unión para el Desarrollo Social                                                             ,94191,ENTRE RÍOS
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,6537,ENTRE RÍOS
Alianza Compromiso Federal                                                                          ,117707,SAN LUIS
Alianza Frente Amplio Progresista                                                                   ,11610,SAN LUIS
Alianza Frente Popular                                                                              ,2224,SAN LUIS
Alianza Frente de Izquierda y de los Trabajadores                                                   ,2372,SAN LUIS
Alianza Frente para la Victoria                                                                     ,71855,SAN LUIS
Alianza Unión para el Desarrollo Social                                                             ,20857,SAN LUIS
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,2122,SAN LUIS
Alianza Compromiso Federal                                                                          ,56867,SAN JUAN
Alianza Frente Amplio Progresista                                                                   ,20859,SAN JUAN
Alianza Frente Popular                                                                              ,7384,SAN JUAN
Alianza Frente de Izquierda y de los Trabajadores                                                   ,3569,SAN JUAN
Alianza Frente para la Victoria                                                                     ,218243,SAN JUAN
Alianza Unión para el Desarrollo Social                                                             ,23958,SAN JUAN
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,3017,SAN JUAN
Alianza Compromiso Federal                                                                          ,1794,SANTA CRUZ
Alianza Frente Amplio Progresista                                                                   ,10357,SANTA CRUZ
Alianza Frente Popular                                                                              ,2118,SANTA CRUZ
Alianza Frente de Izquierda y de los Trabajadores                                                   ,2427,SANTA CRUZ
Alianza Frente para la Victoria                                                                     ,104867,SANTA CRUZ
Alianza Unión para el Desarrollo Social                                                             ,16686,SANTA CRUZ
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,2031,SANTA CRUZ
Alianza Compromiso Federal                                                                          ,19492,SALTA
Alianza Frente Amplio Progresista                                                                   ,49768,SALTA
Alianza Frente Popular                                                                              ,24921,SALTA
Alianza Frente de Izquierda y de los Trabajadores                                                   ,21824,SALTA
Alianza Frente para la Victoria                                                                     ,381590,SALTA
Alianza Unión para el Desarrollo Social                                                             ,87923,SALTA
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,8764,SALTA
Alianza Compromiso Federal                                                                          ,16732,MISIONES
Alianza Frente Amplio Progresista                                                                   ,30786,MISIONES
Alianza Frente Popular                                                                              ,43763,MISIONES
Alianza Frente de Izquierda y de los Trabajadores                                                   ,5557,MISIONES
Alianza Frente para la Victoria                                                                     ,362680,MISIONES
Alianza Unión para el Desarrollo Social                                                             ,73805,MISIONES
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,7050,MISIONES
Alianza Compromiso Federal                                                                          ,39032,TUCUMÁN
Alianza Frente Amplio Progresista                                                                   ,86830,TUCUMÁN
Alianza Frente Popular                                                                              ,23246,TUCUMÁN
Alianza Frente de Izquierda y de los Trabajadores                                                   ,15436,TUCUMÁN
Alianza Frente para la Victoria                                                                     ,521093,TUCUMÁN
Alianza Unión para el Desarrollo Social                                                             ,106139,TUCUMÁN
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,7742,TUCUMÁN
Alianza Compromiso Federal                                                                          ,19873,NEUQUÉN
Alianza Frente Amplio Progresista                                                                   ,44641,NEUQUÉN
Alianza Frente Popular                                                                              ,11223,NEUQUÉN
Alianza Frente de Izquierda y de los Trabajadores                                                   ,10083,NEUQUÉN
Alianza Frente para la Victoria                                                                     ,188923,NEUQUÉN
Alianza Unión para el Desarrollo Social                                                             ,28829,NEUQUÉN
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,6117,NEUQUÉN
Alianza Compromiso Federal                                                                          ,174433,MENDOZA
Alianza Frente Amplio Progresista                                                                   ,106071,MENDOZA
Alianza Frente Popular                                                                              ,14925,MENDOZA
Alianza Frente de Izquierda y de los Trabajadores                                                   ,13520,MENDOZA
Alianza Frente para la Victoria                                                                     ,436423,MENDOZA
Alianza Unión para el Desarrollo Social                                                             ,94776,MENDOZA
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,18447,MENDOZA
Alianza Compromiso Federal                                                                          ,14911,LA PAMPA
Alianza Frente Amplio Progresista                                                                   ,23977,LA PAMPA
Alianza Frente Popular                                                                              ,6662,LA PAMPA
Alianza Frente de Izquierda y de los Trabajadores                                                   ,2109,LA PAMPA
Alianza Frente para la Victoria                                                                     ,102096,LA PAMPA
Alianza Unión para el Desarrollo Social                                                             ,23387,LA PAMPA
Coalición Cívica - Afirmación para una República Igualitaria ARI                                    ,2143,LA PAMPA
Alianza Compromiso Federal                                                                          ,11232,JUJUY
Alianza Frente Amplio Progresista                                                                   ,25205,JUJUY
